Tournament,Stage,Match Type,Match Name,Team A,Team B,Team A Score,Team B Score,Match Result
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Paper Rex,Xi Lai Gaming,2,0,Paper Rex won
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,GIANTX,Sentinels,2,1,GIANTX won
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Mega Minors,EDward Gaming,2,0,NRG won
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Team Liquid,DRX,0,2,DRX won
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Dragon Ranger Gaming,T1,0,2,T1 won
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,G2 Esports,Team Heretics,0,2,Team Heretics won
Valorant Champions 2025,Group Stage,Opening (B),Bilibili Gaming vs MIBR,Bilibili Gaming,MIBR,0,2,MIBR won
Valorant Champions 2025,Group Stage,Opening (B),Rex Regum Qeon vs FNATIC,Rex Regum Qeon,FNATIC,0,2,FNATIC won
Valorant Champions 2025,Group Stage,Winner's (A),Paper Rex vs GIANTX,Paper Rex,GIANTX,2,1,Paper Rex won
Valorant Champions 2025,Group Stage,Winner's (C),DRX vs NRG,DRX,Mega Minors,1,2,NRG won
Valorant Champions 2025,Group Stage,Winner's (D),Team Heretics vs T1,Team Heretics,T1,2,0,Team Heretics won
Valorant Champions 2025,Group Stage,Winner's (B),MIBR vs FNATIC,MIBR,FNATIC,1,2,FNATIC won
Valorant Champions 2025,Group Stage,Elimination (C),Team Liquid vs EDward Gaming,Team Liquid,EDward Gaming,2,1,Team Liquid won
Valorant Champions 2025,Group Stage,Elimination (A),Xi Lai Gaming vs Sentinels,Xi Lai Gaming,Sentinels,2,1,Xi Lai Gaming won
Valorant Champions 2025,Group Stage,Elimination (B),Bilibili Gaming vs Rex Regum Qeon,Bilibili Gaming,Rex Regum Qeon,1,2,Rex Regum Qeon won
Valorant Champions 2025,Group Stage,Elimination (D),G2 Esports vs Dragon Ranger Gaming,G2 Esports,Dragon Ranger Gaming,2,0,G2 Esports won
Valorant Champions 2025,Group Stage,Decider (C),DRX vs Team Liquid,DRX,Team Liquid,2,0,DRX won
Valorant Champions 2025,Group Stage,Decider (A),GIANTX vs Xi Lai Gaming,GIANTX,Xi Lai Gaming,2,0,GIANTX won
Valorant Champions 2025,Group Stage,Decider (D),T1 vs G2 Esports,T1,G2 Esports,0,2,G2 Esports won
Valorant Champions 2025,Group Stage,Decider (B),MIBR vs Rex Regum Qeon,MIBR,Rex Regum Qeon,2,0,MIBR won
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Paper Rex vs G2 Esports,Paper Rex,G2 Esports,2,1,Paper Rex won
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,FNATIC,DRX,2,1,FNATIC won
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Team Heretics,MIBR,0,2,MIBR won
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Mega Minors,GIANTX,2,0,NRG won
Valorant Champions 2025,Playoffs,Lower Round 1,DRX vs G2 Esports,DRX,G2 Esports,2,1,DRX won
